scope,regime,target,model,frames,values,explained_variance,mse
d3d_shot_029aa18a13,flat_top,ff_prime,tuned_transport,46,1104,-1.1960369669711954,0.06498459350186922
d3d_shot_029aa18a13,flat_top,ff_prime,default_transport,46,1104,-1.1960977374731674,0.06498639180782989
d3d_shot_029aa18a13,flat_top,ff_prime,persistence,46,1104,-1.196026127506836,0.06498427274306791
d3d_shot_029aa18a13,flat_top,psi,tuned_transport,46,1104,-9.112132898767792,2.069723180647671
d3d_shot_029aa18a13,flat_top,psi,default_transport,46,1104,-5.963715169278983,1.4253138139670627
d3d_shot_029aa18a13,flat_top,psi,persistence,46,1104,-17.653160691878995,3.8178769467153977
d3d_shot_0073c37714,all,ff_prime,tuned_transport,264,6336,-1.1601099323895618,0.007330595477815559
d3d_shot_0073c37714,all,ff_prime,default_transport,264,6336,-1.1591825749139693,0.007327448377561557
d3d_shot_0073c37714,all,ff_prime,persistence,264,6336,-1.1655097491757918,0.0073489204120796145
d3d_shot_0073c37714,all,psi,tuned_transport,264,6336,-0.07786653281949074,0.10058971635052845
d3d_shot_0073c37714,all,psi,default_transport,264,6336,0.07811038634883705,0.08603348551986129
d3d_shot_0073c37714,all,psi,persistence,264,6336,-1.6636777025939464,0.2485823396448508
d3d_shot_0073c37714,ramp,ff_prime,tuned_transport,19,456,-7.983087171915509,0.005923909579828034
d3d_shot_0073c37714,ramp,ff_prime,default_transport,19,456,-7.981516844795552,0.005922874025380956
d3d_shot_0073c37714,ramp,ff_prime,persistence,19,456,-7.983160244877167,0.005923957767896269
d3d_shot_0073c37714,ramp,psi,tuned_transport,19,456,-19.648879777321156,0.13270970405690086
d3d_shot_0073c37714,ramp,psi,default_transport,19,456,-24.256373293843005,0.1623219206815177
d3d_shot_0073c37714,ramp,psi,persistence,19,456,-24.865172451033825,0.1662346538104897
d3d_shot_0073c37714,flat_top,ff_prime,tuned_transport,98,2352,-0.2950524257247442,0.008304883077050504
d3d_shot_0073c37714,flat_top,ff_prime,default_transport,98,2352,-0.294938506387147,0.008304152537683782
d3d_shot_0073c37714,flat_top,ff_prime,persistence,98,2352,-0.295091001675438,0.00830513045603975
d3d_shot_0073c37714,flat_top,psi,tuned_transport,98,2352,-2.8851419442127146,0.17946360478234866
d3d_shot_0073c37714,flat_top,psi,default_transport,98,2352,-1.0645508008405522,0.09536633005829875
d3d_shot_0073c37714,flat_top,psi,persistence,98,2352,-11.555389558796733,0.5799622001004958
d3d_shot_01f9541419,all,ff_prime,tuned_transport,175,4200,-0.5147045328751481,0.0011068523376723484
d3d_shot_01f9541419,all,ff_prime,default_transport,175,4200,-0.5146923399593131,0.0011068434278439943
d3d_shot_01f9541419,all,ff_prime,persistence,175,4200,-0.5151633007369181,0.0011071875768356493
d3d_shot_01f9541419,all,psi,tuned_transport,175,4200,0.38205998539718145,0.18822499528720238
d3d_shot_01f9541419,all,psi,default_transport,175,4200,0.8750407296325492,0.038062688157722686
d3d_shot_01f9541419,all,psi,persistence,175,4200,-2.2218791877242503,0.9813868346349461
d3d_shot_01f9541419,ramp,ff_prime,tuned_transport,0,0,nan,nan
d3d_shot_01f9541419,ramp,ff_prime,default_transport,0,0,nan,nan
d3d_shot_01f9541419,ramp,ff_prime,persistence,0,0,nan,nan
d3d_shot_01f9541419,ramp,psi,tuned_transport,0,0,nan,nan
d3d_shot_01f9541419,ramp,psi,default_transport,0,0,nan,nan
d3d_shot_01f9541419,ramp,psi,persistence,0,0,nan,nan
d3d_shot_01f9541419,flat_top,ff_prime,tuned_transport,175,4200,-0.5147045328751481,0.0011068523376723484
d3d_shot_01f9541419,flat_top,ff_prime,default_transport,175,4200,-0.5146923399593131,0.0011068434278439943
d3d_shot_01f9541419,flat_top,ff_prime,persistence,175,4200,-0.5151633007369181,0.0011071875768356493
d3d_shot_01f9541419,flat_top,psi,tuned_transport,175,4200,0.38205998539718145,0.18822499528720238
d3d_shot_01f9541419,flat_top,psi,default_transport,175,4200,0.8750407296325492,0.038062688157722686
d3d_shot_01f9541419,flat_top,psi,persistence,175,4200,-2.2218791877242503,0.9813868346349461
d3d_shot_021c290db2,all,ff_prime,tuned_transport,244,5856,-0.6243768761368476,0.027094121249261104
d3d_shot_021c290db2,all,ff_prime,default_transport,244,5856,-0.6246433447866351,0.027098565866771073
d3d_shot_021c290db2,all,ff_prime,persistence,244,5856,-0.6211634193421494,0.027040521749475143
d3d_shot_021c290db2,all,psi,tuned_transport,244,5856,-2.4019022332330824,2.354651498479222
d3d_shot_021c290db2,all,psi,default_transport,244,5856,-2.2900303442767456,2.2772185527597935
d3d_shot_021c290db2,all,psi,persistence,244,5856,-3.1808527055146003,2.8938077619605616
d3d_shot_021c290db2,ramp,ff_prime,tuned_transport,28,672,-0.7059679505246605,0.03491908349328564
d3d_shot_021c290db2,ramp,ff_prime,default_transport,28,672,-0.7060784908704494,0.0349213461193583
d3d_shot_021c290db2,ramp,ff_prime,persistence,28,672,-0.7059968940434498,0.03491967593181819
d3d_shot_021c290db2,ramp,psi,tuned_transport,28,672,-20.19271333053027,3.570095475803471
d3d_shot_021c290db2,ramp,psi,default_transport,28,672,-20.638787472484502,3.645240515101932
d3d_shot_021c290db2,ramp,psi,persistence,28,672,-22.17974462168017,3.9048280469554015
d3d_shot_021c290db2,flat_top,ff_prime,tuned_transport,68,1632,-0.5879325413200593,0.037875106039774
d3d_shot_021c290db2,flat_top,ff_prime,default_transport,68,1632,-0.5880158366395345,0.03787709278604669
d3d_shot_021c290db2,flat_top,ff_prime,persistence,68,1632,-0.5879141460336401,0.037874667278425124
d3d_shot_021c290db2,flat_top,psi,tuned_transport,68,1632,-22.21074803449521,4.1761353542640345
d3d_shot_021c290db2,flat_top,psi,default_transport,68,1632,-18.83485036076032,3.5687354718169195
d3d_shot_021c290db2,flat_top,psi,persistence,68,1632,-31.551478449263733,5.8567427376103725
d3d_shot_03abb11dc9,all,ff_prime,tuned_transport,183,4392,-0.13308751962466747,0.012594403770259843
d3d_shot_03abb11dc9,all,ff_prime,default_transport,183,4392,-0.13336842404908733,0.012597526056650543
d3d_shot_03abb11dc9,all,ff_prime,persistence,183,4392,-0.13301881108960267,0.012593640066646416
